,name,usages
1306,ELISA,Italian|Spanish|Portuguese|German|Finnish|English
1307,FIN,West Frisian (Rare)|Old Danish|Old Swedish|Norwegian (Rare)|Medieval Irish|English|Scottish|Irish
1308,MATHILDE,French|German|Dutch|Norwegian|Danish
1309,STEPHEN,English|Biblical
1310,ROCK,English (Rare)
1311,HARRY,English
1312,GABIN,French
1313,LAFAYETTE,"English (American, Rare)"
1314,ROBINSON,English|Literature|Spanish (Latin American)|English
1315,BRIGITTE,German|French
1316,FRITZ,German
1317,NAINA,Indian|Hindi
1318,PIOTR,Polish
1319,HILDE,German|Dutch|Norwegian
1320,RICHMOND,English
1321,BOY,North Frisian|West Frisian|East Frisian|Dutch|Danish|German|English (Rare)
1322,JOE,English
1323,ANDREJ,Slovene|Czech|Slovak|Croatian|Serbian|Macedonian
1324,WINTER,English (Modern)
1325,KENT,English
1326,AGATHE,French|German|Norwegian|Danish|Ancient Greek
1327,NETTIE,English
1328,TOMI,Finnish|Hungarian|Welsh
1329,HENRI,French|Finnish
1330,YOUSSEF,Arabic
1331,LINDA,English|German|Dutch|Italian|Swedish|Norwegian|Danish|Icelandic|French|Latvian|Finnish|Hungarian|Czech|Slovak|Ancient Germanic
1332,BERK,Turkish
1333,RAINIER,French (Rare)
1334,HARDY,English
1335,RALPH,English|Swedish|Norwegian|Danish|German
1336,ARMAND,French
1337,TERRY,English|English
1338,LESTER,English
1339,MOSS,English (Archaic)|Jewish
1340,LUCY,English
